Step,ScenarioA_Low,ScenarioA_High,ScenarioB_Low,ScenarioB_High
1798,0.0,1.0,0.495,0.49
1799,0.0,1.0,0.492,0.49
1800,0.0,1.0,0.494,0.49
1801,0.0,1.0,0.494,0.485
1802,0.0,1.0,0.495,0.488
1803,0.0,1.0,0.492,0.494
1804,0.0,1.0,0.491,0.49
1805,0.0,1.0,0.486,0.488
1806,0.0,1.0,0.489,0.487
1807,0.0,1.0,0.499,0.49
1808,0.0,1.0,0.501,0.49
1809,0.0,1.0,0.501,0.485
1810,0.0,1.0,0.497,0.484
1811,0.0,1.0,0.504,0.489
1812,0.0,1.0,0.499,0.482
1813,0.0,1.0,0.496,0.484
1814,0.0,1.0,0.492,0.489
1815,0.0,1.0,0.489,0.491
1816,0.0,1.0,0.491,0.497
1817,0.0,1.0,0.491,0.504
1818,0.0,1.0,0.489,0.501
1819,0.0,1.0,0.491,0.5
1820,0.0,1.0,0.487,0.496
1821,0.0,1.0,0.495,0.491
1822,0.0,1.0,0.5,0.486
1823,0.0,1.0,0.497,0.486
1824,0.0,1.0,0.498,0.492
1825,0.0,1.0,0.498,0.495
1826,0.0,1.0,0.495,0.49
1827,0.0,1.0,0.492,0.491
1828,0.0,1.0,0.492,0.49
1829,0.0,1.0,0.489,0.484
1830,0.0,1.0,0.491,0.489
1831,0.0,1.0,0.488,0.486
1832,0.0,1.0,0.492,0.49
1833,0.0,1.0,0.495,0.491
1834,0.0,1.0,0.497,0.495
1835,0.0,1.0,0.497,0.494
1836,0.0,1.0,0.502,0.492
1837,0.0,1.0,0.508,0.497
1838,0.0,1.0,0.503,0.494
1839,0.0,1.0,0.503,0.495
1840,0.0,1.0,0.502,0.493
1841,0.0,1.0,0.493,0.493
1842,0.0,1.0,0.496,0.494
1843,0.0,1.0,0.494,0.493
1844,0.0,1.0,0.494,0.495
1845,0.0,1.0,0.494,0.493
1846,0.0,1.0,0.488,0.496
1847,0.0,1.0,0.492,0.5
1848,0.0,1.0,0.489,0.498
1849,0.0,1.0,0.494,0.499
1850,0.0,1.0,0.498,0.495
1851,0.0,1.0,0.499,0.496
1852,0.0,1.0,0.497,0.499
1853,0.0,1.0,0.5,0.5
1854,0.0,1.0,0.502,0.501
1855,0.0,1.0,0.502,0.495
1856,0.0,1.0,0.505,0.495
1857,0.0,1.0,0.508,0.494
1858,0.0,1.0,0.504,0.493
1859,0.0,1.0,0.498,0.492
1860,0.0,1.0,0.501,0.49
1861,0.0,1.0,0.499,0.491
1862,0.0,1.0,0.5,0.493
1863,0.0,1.0,0.504,0.493
1864,0.0,1.0,0.504,0.495
1865,0.0,1.0,0.499,0.496
1866,0.0,1.0,0.501,0.496
1867,0.0,1.0,0.506,0.498
1868,0.0,1.0,0.505,0.496
1869,0.0,1.0,0.5,0.498
1870,0.0,1.0,0.498,0.501
1871,0.0,1.0,0.496,0.504
1872,0.0,1.0,0.496,0.503
1873,0.0,1.0,0.501,0.498
1874,0.0,1.0,0.501,0.497
1875,0.0,1.0,0.496,0.501
1876,0.0,1.0,0.496,0.503
1877,0.0,1.0,0.491,0.504
1878,0.0,1.0,0.492,0.507
1879,0.0,1.0,0.492,0.504
1880,0.0,1.0,0.494,0.497
1881,0.0,1.0,0.493,0.495
1882,0.0,1.0,0.493,0.498
1883,0.0,1.0,0.496,0.489
1884,0.0,1.0,0.495,0.492
1885,0.0,1.0,0.497,0.488
1886,0.0,1.0,0.495,0.487
1887,0.0,1.0,0.493,0.483
1888,0.0,1.0,0.494,0.481
1889,0.0,1.0,0.491,0.483
1890,0.0,1.0,0.498,0.481
1891,0.0,1.0,0.499,0.48
1892,0.0,1.0,0.504,0.48
1893,0.0,1.0,0.502,0.48
1894,0.0,1.0,0.503,0.481
1895,0.0,1.0,0.504,0.484
1896,0.0,1.0,0.502,0.482
1897,0.0,1.0,0.496,0.485
1898,0.0,1.0,0.491,0.485
1899,0.0,1.0,0.494,0.483
1900,0.0,1.0,0.493,0.487
1901,0.0,1.0,0.496,0.485
1902,0.0,1.0,0.497,0.488
1903,0.0,1.0,0.496,0.493
1904,0.0,1.0,0.496,0.492
1905,0.0,1.0,0.491,0.488
1906,0.0,1.0,0.495,0.489
1907,0.0,1.0,0.492,0.488
1908,0.0,1.0,0.493,0.485
1909,0.0,1.0,0.499,0.479
1910,0.0,1.0,0.501,0.478
1911,0.0,1.0,0.505,0.48
1912,0.0,1.0,0.502,0.485
1913,0.0,1.0,0.501,0.488
1914,0.0,1.0,0.501,0.486
1915,0.0,1.0,0.505,0.487
1916,0.0,1.0,0.506,0.485
1917,0.0,1.0,0.506,0.485
1918,0.0,1.0,0.506,0.485
1919,0.0,1.0,0.506,0.487
1920,0.0,1.0,0.504,0.491
1921,0.0,1.0,0.498,0.493
1922,0.0,1.0,0.498,0.487
1923,0.0,1.0,0.5,0.484
1924,0.0,1.0,0.496,0.49
1925,0.0,1.0,0.49,0.491
1926,0.0,1.0,0.49,0.491
1927,0.0,1.0,0.496,0.496
1928,0.0,1.0,0.493,0.499
1929,0.0,1.0,0.495,0.498
1930,0.0,1.0,0.497,0.502
1931,0.0,1.0,0.501,0.501
1932,0.0,1.0,0.501,0.502
1933,0.0,1.0,0.493,0.499
1934,0.0,1.0,0.489,0.491
1935,0.0,1.0,0.486,0.493
1936,0.0,1.0,0.486,0.499
1937,0.0,1.0,0.486,0.501
1938,0.0,1.0,0.485,0.497
1939,0.0,1.0,0.49,0.497
1940,0.0,1.0,0.489,0.501
1941,0.0,1.0,0.49,0.504
1942,0.0,1.0,0.491,0.505
1943,0.0,1.0,0.489,0.506
1944,0.0,1.0,0.489,0.509
1945,0.0,1.0,0.493,0.505
1946,0.0,1.0,0.494,0.501
1947,0.0,1.0,0.492,0.496
1948,0.0,1.0,0.49,0.499
1949,0.0,1.0,0.49,0.505
1950,0.0,1.0,0.49,0.5
1951,0.0,1.0,0.493,0.498
1952,0.0,1.0,0.497,0.499
1953,0.0,1.0,0.493,0.493
1954,0.0,1.0,0.495,0.491
1955,0.0,1.0,0.495,0.493
1956,0.0,1.0,0.494,0.489
1957,0.0,1.0,0.492,0.49
1958,0.0,1.0,0.493,0.488
1959,0.0,1.0,0.495,0.487
1960,0.0,1.0,0.493,0.491
1961,0.0,1.0,0.493,0.49
1962,0.0,1.0,0.496,0.494
1963,0.0,1.0,0.487,0.496
1964,0.0,1.0,0.487,0.496
1965,0.0,1.0,0.497,0.494
1966,0.0,1.0,0.493,0.493
1967,0.0,1.0,0.492,0.492
1968,0.0,1.0,0.489,0.494
1969,0.0,1.0,0.486,0.493
1970,0.0,1.0,0.495,0.497
1971,0.0,1.0,0.496,0.499
1972,0.0,1.0,0.503,0.504
1973,0.0,1.0,0.5,0.507
1974,0.0,1.0,0.498,0.509
1975,0.0,1.0,0.495,0.505
1976,0.0,1.0,0.494,0.505
1977,0.0,1.0,0.5,0.502
1978,0.0,1.0,0.5,0.498
1979,0.0,1.0,0.498,0.503
1980,0.0,1.0,0.498,0.497
1981,0.0,1.0,0.493,0.5
1982,0.0,1.0,0.495,0.498
1983,0.0,1.0,0.493,0.501
1984,0.0,1.0,0.496,0.503
1985,0.0,1.0,0.498,0.497
1986,0.0,1.0,0.501,0.497
1987,0.0,1.0,0.495,0.5
1988,0.0,1.0,0.501,0.497
1989,0.0,1.0,0.499,0.494
1990,0.0,1.0,0.5,0.495
1991,0.0,1.0,0.498,0.494
1992,0.0,1.0,0.491,0.499
1993,0.0,1.0,0.493,0.501
1994,0.0,1.0,0.494,0.5
1995,0.0,1.0,0.5,0.502
1996,0.0,1.0,0.494,0.499
1997,0.0,1.0,0.497,0.5
1998,0.0,1.0,0.497,0.498
1999,0.0,1.0,0.495,0.499
2000,0.0,1.0,0.5,0.5
2001,0.0,1.0,0.498,0.503
2002,0.0,1.0,0.5,0.503
2003,0.0,1.0,0.497,0.502
2004,0.0,1.0,0.495,0.506
2005,0.0,1.0,0.494,0.505
2006,0.0,1.0,0.497,0.505
2007,0.0,1.0,0.496,0.499
2008,0.0,1.0,0.499,0.495
2009,0.0,1.0,0.496,0.494
2010,0.0,1.0,0.495,0.491
2011,0.0,1.0,0.497,0.496
2012,0.0,1.0,0.499,0.495
2013,0.0,1.0,0.497,0.498
2014,0.0,1.0,0.497,0.498
2015,0.0,1.0,0.491,0.503
2016,0.0,1.0,0.492,0.5
2017,0.0,1.0,0.489,0.496
2018,0.0,1.0,0.488,0.502
2019,0.0,1.0,0.487,0.499
2020,0.0,1.0,0.485,0.497
2021,0.0,1.0,0.486,0.499
2022,0.0,1.0,0.488,0.503
2023,0.0,1.0,0.496,0.503
2024,0.0,1.0,0.496,0.504
2025,0.0,1.0,0.493,0.507
2026,0.0,1.0,0.495,0.503
2027,0.0,1.0,0.498,0.505
2028,0.0,1.0,0.494,0.501
2029,0.0,1.0,0.493,0.504
2030,0.0,1.0,0.492,0.501
2031,0.0,1.0,0.489,0.501
2032,0.0,1.0,0.491,0.504
2033,0.0,1.0,0.492,0.501
2034,0.0,1.0,0.495,0.497
2035,0.0,1.0,0.493,0.5
2036,0.0,1.0,0.494,0.495
2037,0.0,1.0,0.498,0.493
2038,0.0,1.0,0.492,0.492
2039,0.0,1.0,0.496,0.49
2040,0.0,1.0,0.499,0.486
2041,0.0,1.0,0.493,0.485
2042,0.0,1.0,0.497,0.482
2043,0.0,1.0,0.501,0.481
2044,0.0,1.0,0.503,0.484
2045,0.0,1.0,0.503,0.489
2046,0.0,1.0,0.503,0.497
2047,0.0,1.0,0.499,0.496
2048,0.0,1.0,0.495,0.499
2049,0.0,1.0,0.494,0.499
2050,0.0,1.0,0.492,0.497
2051,0.0,1.0,0.497,0.498
2052,0.0,1.0,0.497,0.493
2053,0.0,1.0,0.494,0.492
2054,0.0,1.0,0.492,0.496
2055,0.0,1.0,0.494,0.492
2056,0.0,1.0,0.49,0.488
2057,0.0,1.0,0.488,0.491
2058,0.0,1.0,0.491,0.493
2059,0.0,1.0,0.494,0.487
2060,0.0,1.0,0.496,0.489
2061,0.0,1.0,0.489,0.486
2062,0.0,1.0,0.494,0.484
2063,0.0,1.0,0.495,0.484
2064,0.0,1.0,0.491,0.489
2065,0.0,1.0,0.49,0.488
2066,0.0,1.0,0.49,0.489
2067,0.0,1.0,0.49,0.492
2068,0.0,1.0,0.489,0.49
2069,0.0,1.0,0.492,0.487
2070,0.0,1.0,0.49,0.489
2071,0.0,1.0,0.487,0.491
2072,0.0,1.0,0.493,0.493
2073,0.0,1.0,0.496,0.49
2074,0.0,1.0,0.493,0.487
2075,0.0,1.0,0.499,0.488
2076,0.0,1.0,0.5,0.491
2077,0.0,1.0,0.499,0.49
2078,0.0,1.0,0.499,0.493
2079,0.0,1.0,0.499,0.494
2080,0.0,1.0,0.506,0.495
2081,0.0,1.0,0.5,0.496
2082,0.0,1.0,0.496,0.494
2083,0.0,1.0,0.5,0.493
2084,0.0,1.0,0.5,0.491
2085,0.0,1.0,0.499,0.489
2086,0.0,1.0,0.504,0.487
2087,0.0,1.0,0.503,0.494
2088,0.0,1.0,0.499,0.493
2089,0.0,1.0,0.498,0.49
2090,0.0,1.0,0.5,0.489
2091,0.0,1.0,0.5,0.488
2092,0.0,1.0,0.495,0.494
2093,0.0,1.0,0.494,0.493
2094,0.0,1.0,0.495,0.49
2095,0.0,1.0,0.489,0.49
2096,0.0,1.0,0.49,0.495
2097,0.0,1.0,0.491,0.496
2098,0.0,1.0,0.489,0.504
2099,0.0,1.0,0.491,0.505
2100,0.0,1.0,0.491,0.501
2101,0.0,1.0,0.49,0.498
2102,0.0,1.0,0.489,0.497
2103,0.0,1.0,0.489,0.497
2104,0.0,1.0,0.487,0.498
2105,0.0,1.0,0.487,0.495
2106,0.0,1.0,0.489,0.492
2107,0.0,1.0,0.494,0.494
2108,0.0,1.0,0.5,0.499
2109,0.0,1.0,0.495,0.498
2110,0.0,1.0,0.495,0.491
2111,0.0,1.0,0.493,0.492
2112,0.0,1.0,0.499,0.49
2113,0.0,1.0,0.501,0.49
2114,0.0,1.0,0.502,0.488
2115,0.0,1.0,0.499,0.491
2116,0.0,1.0,0.503,0.492
2117,0.0,1.0,0.502,0.492
2118,0.0,1.0,0.499,0.491
2119,0.0,1.0,0.503,0.492
2120,0.0,1.0,0.498,0.499
2121,0.0,1.0,0.497,0.498
2122,0.0,1.0,0.491,0.498
2123,0.0,1.0,0.495,0.496
2124,0.0,1.0,0.496,0.499
2125,0.0,1.0,0.493,0.5
2126,0.0,1.0,0.494,0.496
2127,0.0,1.0,0.501,0.498
2128,0.0,1.0,0.504,0.499
2129,0.0,1.0,0.506,0.497
2130,0.0,1.0,0.505,0.498
2131,0.0,1.0,0.504,0.499
2132,0.0,1.0,0.504,0.493
2133,0.0,1.0,0.502,0.492
2134,0.0,1.0,0.497,0.489
2135,0.0,1.0,0.492,0.488
2136,0.0,1.0,0.494,0.487
2137,0.0,1.0,0.5,0.486
2138,0.0,1.0,0.493,0.487
2139,0.0,1.0,0.495,0.489
2140,0.0,1.0,0.492,0.495
2141,0.0,1.0,0.489,0.496
2142,0.0,1.0,0.492,0.494
2143,0.0,1.0,0.496,0.497
2144,0.0,1.0,0.5,0.497
2145,0.0,1.0,0.5,0.5
2146,0.0,1.0,0.5,0.498
2147,0.0,1.0,0.498,0.497
2148,0.0,1.0,0.493,0.493
2149,0.0,1.0,0.494,0.495
2150,0.0,1.0,0.496,0.501
2151,0.0,1.0,0.5,0.498
2152,0.0,1.0,0.501,0.5
2153,0.0,1.0,0.501,0.5
2154,0.0,1.0,0.499,0.494
2155,0.0,1.0,0.494,0.493
2156,0.0,1.0,0.494,0.49
2157,0.0,1.0,0.505,0.494
2158,0.0,1.0,0.505,0.493
2159,0.0,1.0,0.505,0.495
2160,0.0,1.0,0.506,0.49
2161,0.0,1.0,0.503,0.497
2162,0.0,1.0,0.503,0.499
2163,0.0,1.0,0.503,0.497
2164,0.0,1.0,0.499,0.495
2165,0.0,1.0,0.495,0.494
2166,0.0,1.0,0.495,0.502
2167,0.0,1.0,0.49,0.504
2168,0.0,1.0,0.493,0.5
2169,0.0,1.0,0.491,0.502
2170,0.0,1.0,0.488,0.503
2171,0.0,1.0,0.487,0.5
2172,0.0,1.0,0.485,0.506
2173,0.0,1.0,0.492,0.509
2174,0.0,1.0,0.493,0.507
2175,0.0,1.0,0.491,0.506
2176,0.0,1.0,0.487,0.507
2177,0.0,1.0,0.489,0.501
2178,0.0,1.0,0.488,0.499
2179,0.0,1.0,0.487,0.499
2180,0.0,1.0,0.489,0.498
2181,0.0,1.0,0.49,0.494
2182,0.0,1.0,0.493,0.492
2183,0.0,1.0,0.495,0.495
2184,0.0,1.0,0.498,0.495
2185,0.0,1.0,0.495,0.498
2186,0.0,1.0,0.497,0.495
2187,0.0,1.0,0.505,0.493
2188,0.0,1.0,0.506,0.492
2189,0.0,1.0,0.501,0.491
2190,0.0,1.0,0.495,0.495
2191,0.0,1.0,0.497,0.502
2192,0.0,1.0,0.499,0.505
2193,0.0,1.0,0.5,0.504
2194,0.0,1.0,0.498,0.507
2195,0.0,1.0,0.497,0.504
2196,0.0,1.0,0.499,0.502
2197,0.0,1.0,0.499,0.498
2198,0.0,1.0,0.495,0.497
2199,0.0,1.0,0.497,0.499
2200,0.0,1.0,0.497,0.494
2201,0.0,1.0,0.5,0.497
2202,0.0,1.0,0.499,0.493
2203,0.0,1.0,0.497,0.489
2204,0.0,1.0,0.492,0.497
2205,0.0,1.0,0.492,0.497
2206,0.0,1.0,0.492,0.501
2207,0.0,1.0,0.491,0.502
2208,0.0,1.0,0.49,0.5
2209,0.0,1.0,0.493,0.505
2210,0.0,1.0,0.495,0.506
2211,0.0,1.0,0.495,0.51
2212,0.0,1.0,0.49,0.506
2213,0.0,1.0,0.486,0.504
2214,0.0,1.0,0.486,0.507
2215,0.0,1.0,0.489,0.505
2216,0.0,1.0,0.492,0.498
2217,0.0,1.0,0.489,0.497
2218,0.0,1.0,0.497,0.496
2219,0.0,1.0,0.497,0.495
2220,0.0,1.0,0.496,0.495
2221,0.0,1.0,0.497,0.497
2222,0.0,1.0,0.496,0.499
2223,0.0,1.0,0.496,0.497
2224,0.0,1.0,0.492,0.498
2225,0.0,1.0,0.5,0.501
2226,0.0,1.0,0.501,0.501
2227,0.0,1.0,0.495,0.498
2228,0.0,1.0,0.492,0.498
2229,0.0,1.0,0.497,0.497
2230,0.0,1.0,0.497,0.49
2231,0.0,1.0,0.503,0.493
2232,0.0,1.0,0.501,0.49
2233,0.0,1.0,0.5,0.482
2234,0.0,1.0,0.5,0.483
2235,0.0,1.0,0.496,0.483
2236,0.0,1.0,0.501,0.477
2237,0.0,1.0,0.498,0.479
2238,0.0,1.0,0.493,0.477
2239,0.0,1.0,0.493,0.474
2240,0.0,1.0,0.495,0.481
2241,0.0,1.0,0.489,0.479
2242,0.0,1.0,0.493,0.483
2243,0.0,1.0,0.492,0.486
2244,0.0,1.0,0.493,0.484
2245,0.0,1.0,0.49,0.483
2246,0.0,1.0,0.492,0.481
2247,0.0,1.0,0.492,0.483
2248,0.0,1.0,0.492,0.487
2249,0.0,1.0,0.494,0.488
2250,0.0,1.0,0.5,0.49
2251,0.0,1.0,0.503,0.485
2252,0.0,1.0,0.502,0.483
2253,0.0,1.0,0.503,0.486
2254,0.0,1.0,0.508,0.485
2255,0.0,1.0,0.506,0.487
2256,0.0,1.0,0.506,0.487
2257,0.0,1.0,0.508,0.487
2258,0.0,1.0,0.5,0.49
2259,0.0,1.0,0.498,0.489
2260,0.0,1.0,0.494,0.497
2261,0.0,1.0,0.498,0.498
2262,0.0,1.0,0.5,0.499
2263,0.0,1.0,0.495,0.498
2264,0.0,1.0,0.497,0.502
2265,0.0,1.0,0.496,0.503
2266,0.0,1.0,0.498,0.502
2267,0.0,1.0,0.497,0.501
2268,0.0,1.0,0.494,0.504
2269,0.0,1.0,0.494,0.502
2270,0.0,1.0,0.495,0.495
2271,0.0,1.0,0.495,0.501
2272,0.0,1.0,0.494,0.501
2273,0.0,1.0,0.5,0.495
2274,0.0,1.0,0.503,0.494
2275,0.0,1.0,0.503,0.494
2276,0.0,1.0,0.504,0.492
2277,0.0,1.0,0.502,0.495
2278,0.0,1.0,0.5,0.493
2279,0.0,1.0,0.494,0.492
2280,0.0,1.0,0.489,0.491
2281,0.0,1.0,0.491,0.493
2282,0.0,1.0,0.487,0.488
2283,0.0,1.0,0.484,0.488
2284,0.0,1.0,0.486,0.496
2285,0.0,1.0,0.484,0.499
2286,0.0,1.0,0.481,0.494
2287,0.0,1.0,0.486,0.495
2288,0.0,1.0,0.491,0.498
2289,0.0,1.0,0.492,0.497
2290,0.0,1.0,0.494,0.494
2291,0.0,1.0,0.491,0.492
2292,0.0,1.0,0.49,0.492
2293,0.0,1.0,0.49,0.486
2294,0.0,1.0,0.493,0.485
2295,0.0,1.0,0.492,0.485
2296,0.0,1.0,0.498,0.482
2297,0.0,1.0,0.495,0.49
2298,0.0,1.0,0.494,0.49
2299,0.0,1.0,0.5,0.488
2300,0.0,1.0,0.495,0.487
2301,0.0,1.0,0.495,0.486
2302,0.0,1.0,0.494,0.483
2303,0.0,1.0,0.495,0.483
2304,0.0,1.0,0.498,0.481
2305,0.0,1.0,0.493,0.486
2306,0.0,1.0,0.496,0.492
2307,0.0,1.0,0.493,0.489
2308,0.0,1.0,0.487,0.492
2309,0.0,1.0,0.488,0.494
2310,0.0,1.0,0.491,0.498
2311,0.0,1.0,0.494,0.5
2312,0.0,1.0,0.493,0.498
2313,0.0,1.0,0.493,0.494
2314,0.0,1.0,0.498,0.494
2315,0.0,1.0,0.5,0.491
2316,0.0,1.0,0.505,0.495
2317,0.0,1.0,0.5,0.493
2318,0.0,1.0,0.495,0.494
2319,0.0,1.0,0.5,0.497
2320,0.0,1.0,0.499,0.499
2321,0.0,1.0,0.498,0.501
2322,0.0,1.0,0.496,0.499
2323,0.0,1.0,0.5,0.499
2324,0.0,1.0,0.498,0.505
2325,0.0,1.0,0.501,0.509
2326,0.0,1.0,0.5,0.505
2327,0.0,1.0,0.5,0.508
2328,0.0,1.0,0.501,0.509
2329,0.0,1.0,0.5,0.507
2330,0.0,1.0,0.501,0.507
2331,0.0,1.0,0.503,0.505
2332,0.0,1.0,0.505,0.504
2333,0.0,1.0,0.506,0.501
2334,0.0,1.0,0.501,0.498
2335,0.0,1.0,0.501,0.501
2336,0.0,1.0,0.496,0.504
2337,0.0,1.0,0.491,0.503
2338,0.0,1.0,0.49,0.499
2339,0.0,1.0,0.495,0.502
2340,0.0,1.0,0.499,0.506
2341,0.0,1.0,0.491,0.497
2342,0.0,1.0,0.494,0.499
2343,0.0,1.0,0.49,0.5
2344,0.0,1.0,0.494,0.498
2345,0.0,1.0,0.493,0.496
2346,0.0,1.0,0.488,0.499
2347,0.0,1.0,0.49,0.496
2348,0.0,1.0,0.486,0.502
2349,0.0,1.0,0.485,0.499
2350,0.0,1.0,0.488,0.496
2351,0.0,1.0,0.494,0.496
2352,0.0,1.0,0.493,0.5
2353,0.0,1.0,0.499,0.506
2354,0.0,1.0,0.498,0.502
2355,0.0,1.0,0.498,0.498
2356,0.0,1.0,0.497,0.5
2357,0.0,1.0,0.498,0.503
2358,0.0,1.0,0.5,0.501
2359,0.0,1.0,0.498,0.498
2360,0.0,1.0,0.496,0.505
2361,0.0,1.0,0.494,0.507
2362,0.0,1.0,0.495,0.509
2363,0.0,1.0,0.493,0.512
2364,0.0,1.0,0.499,0.513
2365,0.0,1.0,0.5,0.509
2366,0.0,1.0,0.493,0.504
2367,0.0,1.0,0.495,0.503
2368,0.0,1.0,0.496,0.497
2369,0.0,1.0,0.498,0.492
2370,0.0,1.0,0.501,0.491
2371,0.0,1.0,0.501,0.491
2372,0.0,1.0,0.5,0.487
2373,0.0,1.0,0.5,0.483
2374,0.0,1.0,0.501,0.48
2375,0.0,1.0,0.5,0.485
2376,0.0,1.0,0.5,0.485
2377,0.0,1.0,0.497,0.486
2378,0.0,1.0,0.5,0.493
2379,0.0,1.0,0.497,0.489
2380,0.0,1.0,0.496,0.491
2381,0.0,1.0,0.496,0.499
2382,0.0,1.0,0.49,0.499
2383,0.0,1.0,0.489,0.498
2384,0.0,1.0,0.483,0.496
2385,0.0,1.0,0.488,0.498
2386,0.0,1.0,0.493,0.5
2387,0.0,1.0,0.484,0.504
2388,0.0,1.0,0.49,0.506
2389,0.0,1.0,0.49,0.501
2390,0.0,1.0,0.494,0.498
2391,0.0,1.0,0.496,0.501
2392,0.0,1.0,0.5,0.503
2393,0.0,1.0,0.506,0.507
2394,0.0,1.0,0.504,0.501
2395,0.0,1.0,0.505,0.499
2396,0.0,1.0,0.502,0.497
2397,0.0,1.0,0.499,0.498
2398,0.0,1.0,0.501,0.498
